Analog1, Analog2, Digital1, Digital2
12009,9386,0,0
12070,9341,0,0
12058,9153,0,0
11930,9409,0,0
11834,9066,0,0
12037,9281,0,0
11920,9341,0,0
11947,9112,0,0
11842,9462,0,0
11915,9335,0,0
11886,9456,0,0
11759,9401,0,0
11900,9414,0,0
11878,9263,0,0
11855,9261,0,0
11882,9336,0,0
11831,9332,0,0
12031,9392,0,0
11804,9332,0,0
11882,9459,0,0
11952,9376,0,0
11793,9282,0,0
11835,9438,0,0
11783,9072,0,0
11868,9202,0,0
11757,9330,0,0
11889,9052,0,0
11696,9324,0,0
11866,9300,0,0
11770,9283,0,0
11791,9349,0,0
11913,9134,0,0
11659,9183,0,0
11688,9158,0,0
11834,9295,0,0
11729,9294,0,0
11856,9188,0,0
11814,9171,0,0
11695,9272,0,0
11621,9383,0,0
11815,9333,0,0
11640,9213,0,0
11762,9395,0,0
11838,9308,0,0
11675,9263,0,0
11667,9180,0,0
11813,9342,0,0
11854,9317,0,0
11832,9213,0,0
11621,9293,0,0
11773,9202,0,0
11855,9157,0,0
11772,9085,0,0
11677,9127,0,0
11749,9111,0,0
11863,9285,0,0
11758,9204,0,0
11802,9386,0,0
11746,9168,0,0
11710,9246,0,0
11756,9210,0,0
11749,9416,0,0
11729,9306,0,0
11830,9441,0,0
11736,9416,0,0
11816,9219,0,0
11808,9383,0,0
11913,9288,0,0
11671,9256,0,0
11774,9315,0,0
11841,9302,0,0
11928,9135,0,0
11902,9323,0,0
11971,9381,0,0
11940,9322,0,0
11968,9381,0,0
11792,9308,0,0
11888,9222,0,0
11876,9349,0,0
11785,9234,0,0
11921,9203,0,0
11927,9246,0,0
11979,9316,0,0
11921,9318,0,0
11854,9300,0,0
12131,9441,0,0
11994,9285,0,0
11853,9093,0,0
11927,9298,0,0
12028,9193,0,0
12078,9266,0,0
12126,9161,0,0
11777,9441,0,0
11925,9253,0,0
11896,9349,0,0
11880,9237,0,0
11957,9157,0,0
11772,9209,0,0
11800,9298,0,0
11759,9320,0,0
11761,9268,0,0
11942,9373,0,0
11897,9271,0,0
11820,9208,0,0
11755,9339,0,0
11816,9339,0,0
11833,9260,0,0
11904,9287,0,0
11801,9292,0,0
11685,9349,0,0
11751,9305,0,0
11696,9162,0,0
11699,9389,0,0
11896,9232,0,0
11924,9213,0,0
11695,9136,0,0
11979,9384,0,0
11806,9247,0,0
11769,9386,0,0
11814,9339,0,0
11793,9149,0,0
11734,9411,0,0
11743,9430,0,0
11715,9439,0,0
12000,9402,0,0
11763,9211,0,0
11804,9351,0,0
11869,9354,0,0
11808,9387,0,0
11913,9305,0,0
11870,9365,0,0
11714,9169,0,0
11580,9289,0,0
11763,9287,0,0
11958,9188,0,0
11679,9446,0,0
11706,9141,0,0
11820,9346,0,0
11756,9178,0,0
11697,9362,0,0
11864,9320,0,0
11895,9263,0,0
11758,9352,0,0
11714,9206,0,0
11723,9095,0,0
11820,9266,0,0
11812,9150,0,0
11852,9010,0,0
11799,9218,0,0
11786,9268,0,0
11798,9323,0,0
11744,9386,0,0
11810,9289,0,0
11717,9292,0,0
11793,9261,0,0
11710,9390,0,0
11728,9250,0,0
11901,9277,0,0
11838,9148,0,0
11877,9217,0,0
12038,9193,0,0
11750,9246,0,0
11881,9270,0,0
11857,9307,0,0
11918,9270,0,0
11810,9245,0,0
11771,9458,0,0
11875,9272,0,0
11919,9272,0,0
11756,9342,0,0
12044,9204,0,0
11931,9345,0,0
11950,9232,0,0
12015,9247,0,0
11871,9196,0,0
11935,9212,0,0
11821,9267,0,0
11883,9304,0,0
11827,9227,0,0
11830,9122,0,0
11720,9406,0,0
11783,9373,0,0
11778,9293,0,0
11736,9276,0,0
11820,9336,0,0
11803,9256,0,0
11892,9225,0,0
11882,9230,0,0
11639,9245,0,0
11703,9309,0,0
11783,9188,0,0
11771,9147,0,0
11791,9182,0,0
11727,9372,0,0
11735,9315,0,0
11738,9240,0,0
11574,9289,0,0
11736,9342,0,0
11649,9256,0,0
11853,9309,0,0
11742,9380,0,0
11743,9276,0,0
11870,9327,0,0
11736,9221,0,0
11860,9139,0,0
11685,9253,0,0
11709,9381,0,0
11654,9252,0,0
11747,9361,0,0
11749,9305,0,0
11812,9222,0,0
11748,9302,0,0
11693,9269,0,0
11663,9321,0,0
11670,9443,0,0
11711,9153,0,0
11716,9452,0,0
11531,9279,0,0
11585,9349,0,0
11621,9070,0,0
11864,9275,0,0
11628,9231,0,0
11674,9287,0,0
11701,9424,0,0
11731,9273,0,0
11531,9275,0,0
11601,9304,0,0
11494,9308,0,0
11618,9265,0,0
11622,9227,0,0
11674,9320,0,0
11569,9250,0,0
11596,9328,0,0
11840,9277,0,0
11697,9455,0,0
11651,9203,0,0
11665,9297,0,0
11640,9244,0,0
11673,9107,0,0
11709,9367,0,0
11673,9218,0,0
11634,9244,0,0
11665,9219,0,0
11765,9339,0,0
11743,9350,0,0
11828,9317,0,0
11632,9275,0,0
11790,9329,0,0
11969,9308,0,0
11848,9244,0,0
11842,9321,0,0
11935,9263,0,0
11841,9223,0,0
11980,9231,0,0
11980,9163,0,0
11995,9320,0,0
12090,9241,0,0
11997,9161,0,0
11899,9278,0,0
11927,9380,0,0
11965,9213,0,0
12034,9480,0,0
11825,9290,0,0
11745,9188,0,0
11780,9160,0,0
11899,9253,0,0
11717,9007,0,0
11716,9230,0,0
11781,9278,0,0
11733,9163,0,0
11711,9240,0,0
11754,9110,0,0
11694,9280,0,0
11750,9269,0,0
11683,9309,0,0
11642,9129,0,0
11687,9381,0,0
11595,9276,0,0
11678,9168,0,0
11707,9289,0,0
11706,9372,0,0
11682,9242,0,0
11717,9301,0,0
11703,9167,0,0
11616,9132,0,0
11457,9246,0,0
11681,9342,0,0
11559,9175,0,0
11521,9265,0,0
11705,9315,0,0
11679,9275,0,0
11757,9216,0,0
11724,9361,0,0
11775,9295,0,0
11853,9207,0,0
11972,9353,0,0
11781,9359,0,0
11583,9313,0,0
11532,9297,0,0
11776,9313,0,0
11737,9335,0,0
11700,9350,0,0
11568,9261,0,0
11724,9274,0,0
11660,9219,0,0
11644,9323,0,0
11696,9233,0,0
11555,9283,0,0
11659,9190,0,0
11643,9404,0,0
11664,9393,0,0
11567,9237,0,0
11589,9367,0,0
11626,9313,0,0
11619,9135,0,0
11597,9121,0,0
11694,9385,0,0
11752,9180,0,0
11702,9280,0,0
11514,9464,0,0
11580,9383,0,0
11576,9284,0,0
11576,9299,0,0
11681,9386,0,0
11625,9254,0,0
11610,9395,0,0
11773,9265,0,0
11657,9285,0,0
11584,9239,0,0
11662,9247,0,0
11696,9135,0,0
11512,9217,0,0
11755,9285,0,0
11567,9227,0,0
11707,9270,0,0
11864,9204,0,0
11839,9350,0,0
11565,9327,0,0
11669,9261,0,0
11758,9236,0,0
11751,9133,0,0
11963,9267,0,0
11750,9186,0,0
11494,9345,0,0
11694,9319,0,0
11842,9336,0,0
11565,9245,0,0
11712,9325,0,0
11956,9317,0,0
11661,9295,0,0
11613,9380,0,0
11960,9236,0,0
11708,9242,0,0
11765,9081,0,0
11585,9310,0,0
11821,9236,0,0
